Uniprot ID,Protein names,Predicted Class by Proteintox
P08815,Potassium channel toxin alpha-KTx 2.1   ,Neurotoxic
P16341,Potassium channel toxin alpha-KTx 5.1      ,Neurotoxic
P0C182,Potassium channel toxin alpha-KTx 1.11  ,Neurotoxic
P59869,Potassium channel toxin alpha-KTx 5.4 ,Neurotoxic
P68410,Alpha-mammal toxin Ts2        ,Neurotoxic
P60615,Alpha-bungarotoxin          ,Neurotoxic
P00987,"Kunitz-type serine protease inhibitor homolog beta-bungarotoxin B1 chain, major component ",Neurotoxic
P22947,Calciseptin   ,Cardiotoxic
P81658,Kunitz-type serine protease inhibitor homolog calcicludine  ,Cardiotoxic
P60304,Cytotoxin 1         ,Cardiotoxic
O57540,Crotamine CRO1,Neurotoxic
P08878,Phospholipase A2 homolog crotoxin acid subunit CA   ,Non-toxic
O93426,Snaclec convulxin subunit alpha ,Non-toxic
P00979,Kunitz-type serine protease inhibitor homolog dendrotoxin I   ,Neurotoxic
Q9PS08,Dendrotoxin A  ,Neurotoxic
Q7LZE4,Kunitz-type serine protease inhibitor taicotoxin     ,Neurotoxic
P62933,Eledoisin,Neurotoxic
P81662,DELTA-stichotoxin-She4a        ,Non-toxic
P0C1Q6,Mastoparan-A ,Non-toxic
P59847,Potassium channel toxin alpha-KTx 2.5  ,Neurotoxic
P60254,Maurocalcin  ,Neurotoxic
P01476,Myotoxin-A ,Neurotoxic
P00614,Basic phospholipase A2 taipoxin alpha chain   ,Neurotoxic
P01530,Delta-actitoxin-Axm1a      ,Cardiotoxic
P14531,Delta-hormotoxin-Cpt1b      ,Neurotoxic
P40136,Calmodulin-sensitive adenylate cyclase      ,Non-toxic
P13423,Protective antigen     ,Non-toxic
P15917,Lethal factor   ,Non-toxic
P04977,Pertussis toxin subunit 1     ,Non-toxic
P0DKX7,Bifunctional hemolysin/adenylate cyclase    ,Non-toxic
P16154,Toxin A  ,Enterotoxic
P18177,Toxin B  ,Non-toxic
P0C216,Phospholipase C      ,Non-toxic
P01558,Heat-labile enterotoxin B chain,Non-toxic
P0C2E9,Perfringolysin O   ,Non-toxic
P04958,Tetanus toxin   ,Non-toxic
P13128,Listeriolysin O  ,Non-toxic
P17452,Dermonecrotic toxin   ,Non-toxic
P11439,Exotoxin A   --diphthamide ADP-ribosyltransferase  ,Non-toxic
Q9FBI2,Shiga toxin subunit A ,Non-toxic
P09616,Alpha-hemolysin  ,Non-toxic
P09978,Phospholipase C     ,Non-toxic
P0C1V1,Delta-hemolysin  ,Non-toxic
P31716,Leukocidin-S subunit,Non-toxic
P31715,Leukocidin-F subunit ,Non-toxic
P0A0L2,Enterotoxin type A ,Enterotoxic
P01552,Enterotoxin type B ,Enterotoxic
P0C2J9,Pneumolysin  ,Non-toxic
P0C0I3,Streptolysin O  ,Non-toxic
P01555,Cholera enterotoxin subunit A  ,Enterotoxic
P01501,Melittin     ,Non-toxic
Q5ECE3,Lopap   ,Non-toxic
P11057,Mu-agatoxin-Aa1a   ,Neurotoxic
P82227,Lambda-hexatoxin-Hv1a       ,Neurotoxic
P56852,Kappa-theraphotoxin-Gr1a   ,Neurotoxic
P0CE80,Dermonecrotic toxin LiSicTox-alphaIA1a           ,Non-toxic
P60992,Delta-theraphotoxin-Hm1a     ,Neurotoxic
P34073 ,Alpha-elapitoxin-Aa2d   ,Neurotoxic
P60775,Erabutoxin a   ,Neurotoxic
P17347,Disintegrin metalloproteinase/disintegrin echistatin ,Non-toxic
P81166,Basic phospholipase A2 nigroxin A   ,Neurotoxic
P00608,Basic phospholipase A2 notexin   ,Neurotoxic
P83234,Ohanin,Non-toxic
Q8AVA4,Cysteine-rich venom protein pseudechetoxin ,Non-toxic
Q02471,Basic phospholipase A2 RV-4       ,Neurotoxic
P14420,Basic phospholipase A2 vipoxin B chain    ,Neurotoxic
Q86LR2,Hydralysin-1,Non-toxic
Q98989,Stonustoxin subunit alpha     ,Non-toxic
A0ZSK3,Neoverrucotoxin subunit alpha ,Non-toxic
A7L035,Toxin CfTX-1 ,Cardiotoxic
Q9XZK2,Omega-conotoxin SO-3 ,Neurotoxic
P01519,Alpha-conotoxin GIA,Neurotoxic
Q9XZK5,Alpha-conotoxin GI ,Neurotoxic
P56633,Delta-conotoxin SVIE    ,Neurotoxic
P58925,Kappa-conotoxin PVIIA  ,Neurotoxic
P83047 ,Mu-conotoxin PIIIA ,Neurotoxic
P01857,Contryphan-Vn,Neurotoxic
P11140,Immunoglobulin heavy constant gamma 1    ,Non-toxic
Q06077,Abrin-a ,Non-toxic
P28590,Abrin-b ,Non-toxic
Q06076,Abrin-c ,Non-toxic
P07504,Abrin-d ,Non-toxic
P00587,Thionin,Neurotoxic
Q00496,Diphtheria toxin  --diphthamide ADP-ribosyltransferase  ,Non-toxic
P30996,Botulinum neurotoxin type E   ,Non-toxic
P10844,Botulinum neurotoxin type F   ,Non-toxic
P19321,Botulinum neurotoxin type B   ,Non-toxic
P10845,Botulinum neurotoxin type D   ,Non-toxic
P30995,Botulinum neurotoxin type A    ,Non-toxic
Q7BQ98,Botulinum neurotoxin type A     ,Non-toxic
P01857,Botulinum neurotoxin type E   ,Non-toxic
P10845,Shiga toxin subunit B,Non-toxic
Q60393,Botulinum neurotoxin type G   ,Non-toxic
A8W7P1,Beta-amanitin proprotein ,Neurotoxic
A8W7M4,Alpha-amanitin proprotein ,Non-toxic
P67876,Ribonuclease mitogillin  ,Non-toxic
P00655 ,Ribonuclease alpha-sarcin  ,Non-toxic
P00750,Tissue-type plasminogen activator       ,Non-toxic
P00779,Streptokinase C,Non-toxic
A0A068B6Q6,Conotoxin Bt1.8,Neurotoxic
A0A0A1I6E7,Antimicrobial peptide AcrAP1,Non-toxic
A0A0A1I6N9,Antimicrobial peptide AcrAP2,Non-toxic
A0A0B4U9L8,Zinc metalloproteinase-disintegrin-like protein F1       ,Non-toxic
A0A0B5A8P4,Con-Ins G3  ,Non-toxic
A0A0B5AC95,Con-Ins G1a  ,Neurotoxic
A0A0D4WTV1,Dermonecrotic toxin LarSicTox-betaID1       ,Non-toxic
A0A0D4WV12,Dermonecrotic toxin StSicTox-betaIB1i       ,Non-toxic
A0A0K1YW63,Secapin  ,Non-toxic
A0A0N7CSQ4,Tau-scoloptoxin-Ssm1b -Ssm1b  ,Neurotoxic
A0A0S4FKT4,Thrombin-like enzyme collinein-1     ,Non-toxic
A0A193CHJ5,Phospholipase A2 crotoxin basic subunit CBc     ,Neurotoxic
A0A1L4BJ46,Phospholipase A2 hemilipin    ,Non-toxic
A0A1L4BJ98,Dermonecrotic toxin Hl-PLD1       ,Non-toxic
A0A1Z0YU59,Mambaquaretin-1   ,Neurotoxic
A0A2D0TC04,Venom phosphodiesterase  ,Non-toxic
A0A2L0ART2,Mu-scoloptoxin-Ssm1a -Ssm1a  ,Neurotoxic
A0A2U8QPE6,L-amino acid oxidase   ,Non-toxic
A0A2Z5Z9X0,Deep-sea actinoporin Cjtox I  ,Non-toxic
A0A384E129,Omega-conotoxin MoVIA ,Neurotoxic
A0A411EZW9,Acidic phospholipase A2 AplTX-I   ,Non-toxic
A0A4V8GZX0,Mu-theraphotoxin-Os1a    ,Neurotoxic
A0A5C2A2T2,Conodipine-P1      ,Non-toxic
A0A6B7FMR5,Disintegrin-like/cysteine-rich protein MPIII-3        ,Non-toxic
A0A6P3CW73,Cyclotide trypsin inhibitor TopI1,Neurotoxic
A0A8B7DWS6,Hydra actinoporin-like toxin 1     ,Non-toxic
A0S864,Irditoxin subunit A ,Neurotoxic
A0S865,Irditoxin subunit B ,Neurotoxic
A2TK72,Zinc metalloproteinase recombinant fibrinogenase II     ,Non-toxic
A2VBC4,Phospholipase A1   ,Non-toxic
A3R0T9,Zinc metalloproteinase-disintegrin-like ohanin   ,Non-toxic
A4PBQ9,Zinc metalloproteinase-disintegrin-like VAP2A         ,Non-toxic
A4VBF0,Acidic phospholipase A2 inhibitor chain HPD-1I  ,Non-toxic
A6MEY4,Basic phospholipase A2 BFPA    ,Neurotoxic
A8CG78,Acidic phospholipase A2 DsM-a2/DsM-a2'   ,Neurotoxic
A8CG82,Basic phospholipase A2 DsM-b1/DsM-b1'   ,Neurotoxic
A8CG86,Acidic phospholipase A2 Drk-a1     ,Non-toxic
A8E2V8,Acidic phospholipase A2 Tgc-E6   ,Neurotoxic
A8QL52,L-amino-acid oxidase   ,Non-toxic
A8QL56,Alpha- and beta-fibrinogenase OhS1   ,Non-toxic
A8YPR6,Snake venom metalloprotease inhibitor 02D01    ,Non-toxic
A8YPR9,Snake venom metalloprotease inhibitor 02A10  ,Non-toxic
B1P1D9,Kappa-theraphotoxin-Cg1a 6      ,Neurotoxic
B1P1E0,Kappa-theraphotoxin-Cg1a 3      ,Neurotoxic
B1P1E1,Kappa-theraphotoxin-Cg1a 2      ,Neurotoxic
B1P1E2,Kappa-theraphotoxin-Cg1a 4      ,Neurotoxic
B1P1E3,Kappa-theraphotoxin-Cg1a 5      ,Neurotoxic
B1P1F5,U18-theraphotoxin-Cg1a        ,Neurotoxic
B2G331,TauPI-stichotoxin-Hcr2b   ,Neurotoxic
B2KPN7,Conomarphin-Mr3   ,Non-toxic
B3A0N3,Basic phospholipase A2 Bmaj-9   ,Neurotoxic
B3EWF4,Latartoxin-2a ,Non-toxic
B3EWF5,Latartoxin-2b ,Non-toxic
B3EWF6,Latartoxin-2c ,Non-toxic
B3EWF8,Mipartoxin-1   ,Neurotoxic
B3EWH0,Purotoxin-2   ,Neurotoxic
B3EWH2,Azemiopsin,Non-toxic
B3EWP6,Phospholipase A2   ,Neurotoxic
B5AR80,L-amino-acid oxidase   ,Non-toxic
B6CQR5,Acidic phospholipase A2 2    ,Neurotoxic
B6D434,Cathelicidin-related antimicrobial peptide Bf-CRAMP  ,Non-toxic
B7S4N9,Kunitz-type serine protease inhibitor taicotoxin     ,Neurotoxic
B8K1W0,Zinc metalloproteinase-disintegrin-like daborhagin-K    ,Non-toxic
B9W5G6,DELTA-actitoxin-Afr1a      ,Non-toxic
C0HJD3,Fulgimotoxin ,Neurotoxic
C0HJD9,Potassium channel toxin AbeTx1,Neurotoxic
C0HJE7,L-amino acid oxidase bordonein-L   ,Non-toxic
C0HJL8,Phospholipase A2 nigroviriditoxin basic subunit B    ,Neurotoxic
C0HJM9,Toxin Tf2,Neurotoxic
C0HJQ2,Potassium channel toxin alpha-KTx 19.2 ,Neurotoxic
C0HJU3,Acidic phospholipase A2   ,Neurotoxic
C0HJY4,U1-poneritoxin-Ae1a  ,Neurotoxic
C0HK05,Basic phospholipase A2 ColTx-1    ,Neurotoxic
C0HK44,Lasioglossin-3 ,Non-toxic
C0HK69,Beta-toxin Cl13 ,Neurotoxic
C0HKB8,Acidic phospholipase A2    ,Neurotoxic
C0HKB9,Basic phospholipase A2     ,Neurotoxic
C0HKC3,Basic phospholipase A2 APL-D49     ,Non-toxic
C0HKC4,Basic phospholipase A2 APC-D49    ,Neurotoxic
C0HKG7,DELTA-miturgitoxin-Cp1a     ,Neurotoxic
C0HKG8,DELTA-miturgitoxin-Cp1b   ,Neurotoxic
C0HKG9,DELTA-miturgitoxin-Cp1c   ,Neurotoxic
C0HKM3,Hyaluronidase conohyal-P1  ,Non-toxic
C0HL58,Peptide Im-5 ,Non-toxic
C0HL98,Macropin ,Non-toxic
C0HLF0,Basic phospholipase A2     ,Neurotoxic
C0HLF7,Basic phospholipase A2 sphenotoxin subunit B   ,Neurotoxic
C0HLG4,Wasabi receptor toxin ,Neurotoxic
C0HLR3,Beta-toxin Cb1,Neurotoxic
C0HM14,Phospholipase A2 crotoxin basic subunit CBd    ,Neurotoxic
C0HM68,Pi/alpha-stichotoxin-Hmg5b   ,Neurotoxic
C0HM96,Snake venom vascular endothelial growth factor  ,Non-toxic
C0L2T8,Zinc metalloproteinase/disintegrin   ,Non-toxic
C3W4R6,Acidic phospholipase A2 1    ,Non-toxic
C6EVG7,Natriuretic and helokinestatin peptides ,Non-toxic
C7G3K3,Peptide LaIT2,Neurotoxic
D1MEI7,Venom peptide 2a   ,Non-toxic
D2X8K2,Phospholipase A2 A2-actitoxin-Cgg2a    ,Neurotoxic
D2Y1X6,Mu-theraphotoxin-Hhn2b 1    ,Neurotoxic
D2Y1X7,Mu-theraphotoxin-Hhn2b 2    ,Neurotoxic
D2Y1X8,Mu-theraphotoxin-Hhn2b 3    ,Neurotoxic
D2Y1X9,Hainantoxin-III 1     ,Neurotoxic
D2Y1Y0,Hainantoxin-III 2     ,Neurotoxic
D2Y1Y1,Hainantoxin-III     ,Neurotoxic
D2Y1Y2,Hainantoxin-III 4     ,Neurotoxic
D2Y1Y3,Hainantoxin-III 5     ,Neurotoxic
D2Y1Z4,Hainantoxin-III 6     ,Neurotoxic
D2Y1Z7,Hainantoxin-III 7     ,Neurotoxic
D2Y1Z8,Hainantoxin-III 8     ,Neurotoxic
D2Y232,Mu-theraphotoxin-Hhn1b 1     ,Neurotoxic
D2Y233,Mu-theraphotoxin-Hhn1b 2     ,Neurotoxic
D2Y2D1,Hainantoxin-III 9     ,Neurotoxic
D2Y2D2,Hainantoxin-III 10     ,Neurotoxic
D2Y2D3,Hainantoxin-III 11     ,Neurotoxic
D2Y2D7,Mu-theraphotoxin-Hhn1b 3     ,Neurotoxic
D2Y2I3,Hainantoxin-III 12     ,Neurotoxic
D3TTC1,Zinc metalloproteinase-disintegrin-like kaouthiagin-like    ,Non-toxic
D3TTC2,Zinc metalloproteinase-disintegrin-like atragin   ,Non-toxic
D6PXE8,Zinc metalloproteinase-disintegrin-like atrase-B   ,Non-toxic
E0Y419,Beta-fibrinogenase    ,Non-toxic
E0Y421,Chymotrypsin-like protease VLCTLP    ,Non-toxic
E3PQQ8,ConoCAP ,Cardiotoxic
E5D3Z8,Dermonecrotic toxin        ,Non-toxic
E7CLP2,Putative beta-neurotoxin RjAa12f,Neurotoxic
F8J4S0,Oxyopinin-4a ,Non-toxic
F8QN53,Acidic phospholipase A2 Vur-PL2B    ,Neurotoxic
F8QN54,Basic phospholipase A2 vurtoxin   ,Non-toxic
F8S114,Thrombin-like enzyme crotalase     ,Non-toxic
G0LXV8,Alpha-latrotoxin-Lh1a   ,Non-toxic
G8XQX1,L-amino-acid oxidase   ,Non-toxic
G9I930,Basic phospholipase A2 homolog MitTx-beta ,Non-toxic
I0DEB3,Amphipathic peptide VmCT1     ,Non-toxic
I2C090,Ophiophagus venom factor    ,Non-toxic
I2G9B4,Kunitz-type serine protease inhibitor PIVL,Non-toxic
I4CHP3,Thrombin-like enzyme AhV_TL-I  ,Non-toxic
I6L8L6,Basic phospholipase A2 homolog 2   ,Non-toxic
J7H670,L-amino acid oxidase Lm29   ,Non-toxic
K4LLQ2,Thrombin-like enzyme barnettobin     ,Non-toxic
K8DWB5,Alpha-conotoxin TxID ,Neurotoxic
K9USW8,Dermonecrotic toxin LgSicTox-alphaIC1         ,Non-toxic
N0A5N4,Thrombin-like enzyme agkihpin-2       ,Non-toxic
O16846,Kappa-stichotoxin-Hmg1a  ,Neurotoxic
O42187,Basic phospholipase A2 B     ,Neurotoxic
O46166,U1-agatoxin-Ta1a   ,Neurotoxic
O57385,Basic phospholipase A2 homolog acutohaemolysin  ,Non-toxic
O57413,Zinc metalloproteinase/disintegrin ,Non-toxic
O61668,Beta-insect excitatory toxin BmKIT1     ,Neurotoxic
O61705,Neurotoxin BmK-M10         ,Neurotoxic
O93364,L-amino-acid oxidase   ,Non-toxic
O93523,Zinc metalloproteinase-disintegrin-like bothropasin    ,Non-toxic
P00596,Acidic phospholipase A2 CM-II      ,Non-toxic
P00597,Acidic phospholipase A2 2     ,Non-toxic
P00598,Acidic phospholipase A2 1     ,Non-toxic
P00608,Basic phospholipase A2 notexin   ,Neurotoxic
P00611,Acidic phospholipase A2 1     ,Neurotoxic
P00614,Basic phospholipase A2 taipoxin alpha chain   ,Neurotoxic
P00615,Neutral phospholipase A2 homolog taipoxin beta chain 1 ,Neurotoxic
P00616,Acidic phospholipase A2 homolog taipoxin gamma chain ,Neurotoxic
P00617,Basic phospholipase A2 beta-bungarotoxin A1 chain    ,Non-toxic
P00618,Basic phospholipase A2 beta-bungarotoxin A2 chain    ,Neurotoxic
P00619,Acidic phospholipase A2 beta-bungarotoxin A3 chain    ,Neurotoxic
P00623,Acidic phospholipase A2 beta   ,Neurotoxic
P00624,Acidic phospholipase A2   ,Neurotoxic
P00625,Acidic phospholipase A2 DE-I     ,Neurotoxic
P00626,Basic phospholipase A2 ammodytoxin A    ,Neurotoxic
P00627,Basic phospholipase A2 6       ,Neurotoxic
P00628,Basic phospholipase A2 KBf-VA     ,Neurotoxic
P00629,Basic phospholipase A2 Vb-2     ,Non-toxic
P00630,Phospholipase A2     ,Non-toxic
P00980,Kunitz-type serine protease inhibitor homolog alpha-dendrotoxin    ,Neurotoxic
P00981,Kunitz-type serine protease inhibitor homolog dendrotoxin K  ,Neurotoxic
P00982,Kunitz-type serine protease inhibitor homolog delta-dendrotoxin     ,Neurotoxic
P01021,Bradykinin-potentiating and C-type natriuretic peptides   ,Non-toxic
P01391,Alpha-cobratoxin        ,Neurotoxic
P01398,Kappa-bungarotoxin      ,Neurotoxic
P01445,Cytotoxin 2  ,Cardiotoxic
P01446,Cytotoxin 3  ,Cardiotoxic
P01484,Alpha-mammal toxin AaH2    ,Neurotoxic
P01485,Alpha-mammal toxin Bot3   ,Neurotoxic
P01489,Alpha-toxin Lqq4   ,Neurotoxic
P01492,Toxin CsEv1  ,Neurotoxic
P01496,Alpha-mammal toxin Ts3         ],Neurotoxic
P01500,Apamin  ,Neurotoxic
P01501,Melittin     ,Non-toxic
P01521,Alpha-conotoxin MI   ,Neurotoxic
P01522,Omega-conotoxin GVIA   ,Neurotoxic
P01523,Mu-conotoxin GIIIA    ,Neurotoxic
P01531,Delta-actitoxin-Axm1b    ,Cardiotoxic
P01535,Delta-actitoxin-Avd2a     ,Neurotoxic
P04084,Acidic phospholipase A2 homolog vipoxin A chain     ,Non-toxic
P04361,Basic phospholipase A2 homolog AppP2  ,Neurotoxic
P04971,Thrombin-like enzyme batroxobin          ,Non-toxic
P05484,Omega-conotoxin MVIIA  ,Neurotoxic
P05620,Thrombin-like enzyme flavoxobin      ,Non-toxic
P06859,Acidic phospholipase A2 1     ,Neurotoxic
P07231,Conantokin-G    ,Non-toxic
P07845,DELTA-stichotoxin-She4b         ,Non-toxic
P08878,Phospholipase A2 homolog crotoxin acid subunit CA   ,Non-toxic
P08900,Beta-mammal toxin Css2  ,Neurotoxic
P09872,Protein C activator    ,Non-toxic
P09981,Alpha-like toxin BeM9 ,Neurotoxic
P0C005,Anoplin  ,Non-toxic
P0C023,M-myrmeciitoxin-Mp2b     ,Neurotoxic
P0C195,Mu-conotoxin KIIIB ,Neurotoxic
P0C1D0,Alpha-conotoxin RgIA,Neurotoxic
P0C1Q4,Polybia-mastoparan-I      ,Non-toxic
P0C1R0,Polybia-CP  ,Non-toxic
P0C1R7,Alpha-conotoxin OmIA,Neurotoxic
P0C1V7,Alpha-conotoxin AnIB ,Neurotoxic
P0C1W5,Alpha-conotoxin VxXXA  ,Neurotoxic
P0C1W6,Alpha-conotoxin VxXXB    VxXXB],Neurotoxic
P0C1Z0,Fasciculin-2      ,Neurotoxic
P0C247,Kappa-theraphotoxin-Cg1a 1      ,Neurotoxic
P0C248,Contryphan-Am     ,Neurotoxic
P0C250,Contryphan-Lo   ,Neurotoxic
P0C2D1,L-amino-acid oxidase   ,Non-toxic
P0C2D4,L-amino-acid oxidase   ,Non-toxic
P0C2D7,L-amino-acid oxidase   ,Non-toxic
P0C349,Mu-conotoxin SIIIC ,Neurotoxic
P0C350,Mu-conotoxin TIIIA,Neurotoxic
P0C577,Thrombin-like enzyme gabonase      ,Neurotoxic
P0C5B4,Thrombin-like enzyme gloshedobin      ,Non-toxic
P0C6E3,Zinc metalloproteinase-disintegrin bilitoxin-1    ,Non-toxic
P0C6E4,Zinc metalloproteinase/disintegrin ,Non-toxic
P0C6E8,Zinc metalloproteinase/disintegrin ,Non-toxic
P0C6R9,Zinc metalloproteinase-disintegrin-like alternagin    ,Neurotoxic
P0C6S4,Disintegrin eristostatin,Neurotoxic
P0C7B0,Zinc metalloproteinase-disintegrin-like brevilysin H6     ,Non-toxic
P0C7B1,Zinc metalloproteinase-disintegrin-like BaG   ,Non-toxic
P0C7P5,Bradykinin-potentiating and C-type natriuretic peptides  ,Non-toxic
P0C828,Conotoxin SIVA     ,Neurotoxic
P0C829,Conotoxin SIVB   ,Neurotoxic
P0C8M1,Basic phospholipase A2 BmTX-I   ,Neurotoxic
P0C942,Basic phospholipase A2 LmTX-I   ,Non-toxic
P0CAR9,Acidic phospholipase A2 CC-PLA2-1   ,Neurotoxic
P0CAS0,Acidic phospholipase A2 CC-PLA2-2   ,Neurotoxic
P0CAS2,Phospholipase A2 crotoxin basic chain       ,Neurotoxic
P0CAS5,Basic phospholipase A2 F15    ,Neurotoxic
P0CAS7,Basic phospholipase A2 F17    ,Neurotoxic
P0CB14,Snake venom metalloproteinase kistomin  ,Non-toxic
P0CB20,Con-ikot-ikot ,Neurotoxic
P0CC16,L-amino-acid oxidase   ,Non-toxic
P0CC17,L-amino-acid oxidase   ,Non-toxic
P0CE79,Dermonecrotic toxin LrSicTox-alphaIA1ii         ,Non-toxic
P0CE80,Dermonecrotic toxin LiSicTox-alphaIA1a           ,Non-toxic
P0CE81,Dermonecrotic toxin LiSicTox-alphaIA1bi           ,Non-toxic
P0CE82,Dermonecrotic toxin LiSicTox-alphaIA1bii         ,Non-toxic
P0CE83,Dermonecrotic toxin LiSicTox-alphaIA2ai         ,Non-toxic
P0CE84,Dermonecrotic toxin LiSicTox-alphaIA2aii            ,Non-toxic
P0CG03,Thrombin-like enzyme bhalternin     ,Non-toxic
P0CG56,Phospholipase A2 crotoxin basic subunit CBb    ,Neurotoxic
P0CG57,Neutral phospholipase A2 homolog taipoxin beta chain 2 ,Neurotoxic
P0CH24,Conopeptide-Ac1     ,Non-toxic
P0CY66,Omega-conotoxin Bu8,Neurotoxic
P0DI84,L-amino-acid oxidase   ,Non-toxic
P0DI88,L-amino-acid oxidase   ,Non-toxic
P0DI89,L-amino-acid oxidase   ,Non-toxic
P0DI90,L-amino-acid oxidase L2   ,Neurotoxic
P0DI91,L-amino-acid oxidase   ,Non-toxic
P0DJ31,Potassium channel toxin alpha-KTx 23.1  ,Neurotoxic
P0DJ41,Potassium channel toxin kappa-KTx 5.1 ,Neurotoxic
P0DJ42,Snake venom metalloproteinase crotalin  ,Non-toxic
P0DJ43,Zinc metalloproteinase-disintegrin-like mikarin   ,Neurotoxic
P0DJ44,Zinc metalloproteinase-disintegrin-like VaH1   ,Non-toxic
P0DJ45,Kunitz-type serine protease inhibitor LmKTT-1b  ,Neurotoxic
P0DJ46,Kunitz-type serine protease inhibitor LmKTT-1a   ,Neurotoxic
P0DJ86,Thrombin-like enzyme leucurobin      ,Non-toxic
P0DJE1,Snake venom metalloproteinase Batx-1   ,Non-toxic
P0DJE2,Zinc metalloproteinase-disintegrin-like ammodytagin   ,Non-toxic
P0DJE9,Thrombin-like enzyme TLBm     ,Non-toxic
P0DJF0,Thrombin-like enzyme BJ-48     ,Neurotoxic
P0DJG3,Thrombin-like enzyme TLBan     ,Non-toxic
P0DJG7,Thrombin-like enzyme acutobin-2      ,Neurotoxic
P0DJH3,Zinc metalloproteinase-disintegrin-like AAV1    ,Neurotoxic
P0DJH5,Zinc metalloproteinase-disintegrin-like daborhagin-M   ,Non-toxic
P0DJJ6,Snake venom metalloproteinase BleucMP  ,Neurotoxic
P0DJJ9,Basic phospholipase A2 BP-II       ,Neurotoxic
P0DJN6,Basic phospholipase A2 canebraxin B   ,Neurotoxic
P0DJN7,Basic phospholipase A2 Cll-N6   ,Neurotoxic
P0DKR6,Mambalgin-1  ,Neurotoxic
P0DKU1,Basic phospholipase A2 homolog Gln49-PLA2 ,Neurotoxic
P0DKU2,Phospholipase A2 phospholipin   ,Non-toxic
P0DKZ0,Conantokin Rl-B  ,Non-toxic
P0DL26,Thrombin-like enzyme BpirSP27     ,Non-toxic
P0DL27,Thrombin-like enzyme BpirSP41     ,Non-toxic
P0DL29,Snake venom metalloproteinase BpirMP     ,Non-toxic
P0DL37,Potassium channel toxin alpha-KTx 6.21  ,Neurotoxic
P0DL39,Alpha-conotoxin AusIA,Neurotoxic
P0DL49,Delta-actitoxin-Avd1c 1        ,Neurotoxic
P0DL68,Alpha-conotoxin LsIA,Neurotoxic
P0DL72,Toxin GTx1-15   ,Neurotoxic
P0DM15,MuO-conotoxin MfVIA,Neurotoxic
P0DM21,Alpha-conotoxin TxIA ,Neurotoxic
P0DM51,Basic phospholipase A2 BnpTX-1    ,Neurotoxic
P0DM89,Zinc metalloproteinase-disintegrin-like brevilysin H2a   ,Non-toxic
P0DM90,Zinc metalloproteinase-disintegrin-like brevilysin H2b   ,Non-toxic
P0DMB4,Phospholipase A1 1     ,Non-toxic
P0DMB5,Phospholipase A1 2     ,Non-toxic
P0DMB6,Phospholipase A1 verutoxin-1    ,Non-toxic
P0DMB7,Phospholipase A1 verutoxin-2a    ,Non-toxic
P0DMB8,Phospholipase A1 verutoxin-2b    ,Non-toxic
P0DOC5,Delta-theraphotoxin-Hm1b ,Neurotoxic
P0DPS3,Snake venom serine protease VaSP1,Non-toxic
P0DPS4,Basic phospholipase A2 Cc2-PLA2   ,Neurotoxic
P0DQD1,Non-toxic phospholipase A2    ,Neurotoxic
P0DQH9,L-amino acid oxidase   ,Non-toxic
P0DQM9,Conotoxin Czon1107,Neurotoxic
